,plan_repeat,plan_done,plan_skipped,plan_xgrid,plan_ygrid,log,reboot,fault,c,injector_P,injector_D,stage_x,stage_y
7946,4,True,False,8,46,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,16.154800612244898
7947,4,True,False,8,47,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,16.436430408163265
7948,4,True,False,8,48,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,16.71806020408163
7949,4,True,False,8,49,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.779588163265306,16.999689999999998
7950,4,True,False,9,0,FlagBegin;0x69c4e0d86a7b0430d8cdb78070,False,True,0x69c4e0d86a7b0430d8cdb78070,400,2e-07,12.502039183673467,3.19983
7951,4,True,False,9,1,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,3.4814597959183673
7952,4,True,False,9,2,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,3.7630895918367346
7953,4,True,False,9,3,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,4.044719387755102
7954,4,True,False,9,4,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,4.32634918367347
7955,4,True,False,9,5,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,4.607978979591836
7956,4,True,False,9,6,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,4.8896087755102045
7957,4,True,False,9,7,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,5.171238571428571
7958,4,True,False,9,8,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,5.452868367346939
7959,4,True,False,9,9,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,5.734498163265306
7960,4,True,False,9,10,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,6.016127959183674
7961,4,True,False,9,11,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c5,False,True,0x69c4e0d86a7b0430d8cdb78070b4c5,400,2e-07,12.502039183673467,6.29775775510204
7962,4,True,False,9,12,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,6.5793875510204085
7963,4,True,False,9,13,FlagBegin;0x69c4e0d86a7b0430d8cdb78070b4c55a;FlagEnd,False,False,0x69c4e0d86a7b0430d8cdb78070b4c55a,400,2e-07,12.502039183673467,6.861017346938775
7964,4,True,False,9,14,FlagBegin;0x69c4e0d86a7b0430d8cd,False,True,0x69c4e0d86a7b0430d8cd,400,2e-07,12.502039183673467,7.142647142857143
